epoch,train_score,train_loss,train_feasible_ratio,avg_problem_size,solver_calls,cache_hits,cache_misses
1.0,23.005056849975585,-6.963034109344482,1.0,62.7328,1568320.0,0.0,1568320.0
2.0,19.150765791015626,-3.6136652349090577,1.0,58.8416,1471040.0,0.0,3039360.0
3.0,19.331705074462892,-3.026045782709122,1.0,63.9296,1598240.0,0.0,4637600.0
4.0,18.797938824768067,-2.30279082318306,1.0,61.7792,1544480.0,0.0,6182080.0
5.0,18.421244766845703,-1.7806152395629882,1.0,59.9616,1499040.0,0.0,7681120.0
6.0,18.527605692749024,-1.6068017141723632,1.0,61.6704,1541760.0,0.0,9222880.0
7.0,17.941480322875975,-1.3258683110809326,1.0,57.7792,1444480.0,0.0,10667360.0
8.0,18.313728774414063,-1.2644171547317504,1.0,61.1584,1528960.0,0.0,12196320.0
9.0,18.412700552978517,-1.1536873779296875,1.0,62.2528,1556320.0,0.0,13752640.0
10.0,18.07509689300537,-1.0786206912851333,1.0,60.3456,1508640.0,0.0,15261280.0
11.0,18.147892510986328,-1.0742825624847412,1.0,61.024,1525600.0,0.0,16786880.0
12.0,17.779421148681642,-0.9482636974716186,1.0,58.528,1463200.0,0.0,18250080.0
13.0,17.763071420898438,-0.8549116331481934,1.0,58.1888,1454720.0,0.0,19704800.0
14.0,18.043401304931642,-0.9039723552703858,1.0,60.8512,1521280.0,0.0,21226080.0
15.0,17.793960033874512,-0.8391951489496231,1.0,59.0144,1475360.0,0.0,22701440.0
16.0,17.601328576660155,-0.7733324548149109,1.0,57.3056,1432640.0,0.0,24134080.0
17.0,17.700920498962404,-0.7866694631004334,1.0,58.3296,1458240.0,0.0,25592320.0
1.0,22.992909478759767,-6.966869038848877,1.0,62.7328,1568320.0,0.0,1568320.0
1.0,22.989739423217774,-6.934792038955688,1.0,62.7328,1568320.0,0.0,1568320.0
2.0,19.144461025390626,-3.58839746761322,1.0,58.8416,1471040.0,0.0,3039360.0
3.0,19.327013091430665,-3.0042499748802185,1.0,63.9296,1598240.0,0.0,4637600.0
4.0,18.787176226501465,-2.226357505130768,1.0,61.7792,1544480.0,0.0,6182080.0
5.0,18.419896912841796,-1.7601998309326172,1.0,59.9616,1499040.0,0.0,7681120.0
6.0,18.53943237609863,-1.6133813671875,1.0,61.6704,1541760.0,0.0,9222880.0
7.0,17.934939953002928,-1.275404062423706,1.0,57.7792,1444480.0,0.0,10667360.0
8.0,18.318793583374024,-1.2700717273330688,1.0,61.1584,1528960.0,0.0,12196320.0
9.0,18.41661547973633,-1.1863541634941102,1.0,62.2528,1556320.0,0.0,13752640.0
10.0,18.086347911071776,-1.1239806826353074,1.0,60.3456,1508640.0,0.0,15261280.0
11.0,18.140028170166016,-1.0385719867515564,1.0,61.024,1525600.0,0.0,16786880.0
12.0,17.79435086791992,-0.9523792803192138,1.0,58.528,1463200.0,0.0,18250080.0
13.0,17.769975728759764,-0.8665358382797241,1.0,58.1888,1454720.0,0.0,19704800.0
14.0,18.044651888427733,-0.9097045906066894,1.0,60.8512,1521280.0,0.0,21226080.0
15.0,17.797061768493652,-0.8469647850084305,1.0,59.0144,1475360.0,0.0,22701440.0
